eta_1,eta_2,gam_1,gam_2,c_i,c_o,eps_lam,c_lam,del_0,stp,mdl_typ,a1,a2,a3,a4,a5,a6,a7,a8,a9,a10,c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10
0.11,0.68,0.84,1.35,4,1,0.66,2,0.48,1,1,0.02531,0.023244,0.071621,0.0188,0.053555,0.092232,0.058596,0.031285,0.016215,0.053317,0.066334,0.05318,0.068198,0.052348,0.039527,1,0.11925,0.08658,0.067366,0.31136,1,1,1,1,1,0,1,1,1,1
0.11,0.68,0.84,1.35,4,1,0.66,2,0.48,1,2,0.12906,0.09688,0.094352,0.08731,0.12898,0.12805,0.16519,0.19637,0.1187,0.14443,0.50189,0.38971,0.38947,0.39053,0.62388,0.75426,1,1,0.50186,0.75413,1,1,1,1,1,1,0,0,1,1
0.11,0.68,0.84,1.35,4,1,0.66,2,0.48,1,3,0.061753,0.029326,0.051905,0.03071,0.028097,0.063118,0.0173,0.055016,0.038733,0.076239,0.13048,0.10149,0.10149,0.10149,0.10149,0.10149,0.10149,0.13031,0.10149,0.16389,1,1,1,1,1,1,1,1,1,1
0.11,0.68,0.84,1.35,4,1,0.66,2,0.48,1,4,0.02531,0.023244,0.071621,0.0188,0.053555,0.092232,0.058596,0.031285,0.016215,0.053317,0.066334,0.05318,0.068198,0.052348,0.039527,1,0.11925,0.08658,0.067366,0.31136,1,1,1,1,1,0,1,1,1,1
0.11,0.68,0.84,1.35,4,1,0.66,2,0.48,1,5,0.025162,0.023123,0.071559,0.018672,0.053499,0.09218,0.055697,0.03109,0.037476,0.090587,0.065717,0.052685,0.067564,0.051861,0.039159,1,0.11814,0.085775,0.066739,0.37902,1,1,1,1,1,0,1,1,1,1
0.11,0.68,0.84,1.35,4,1,0.66,2,0.48,1,6,0.025251,0.042052,0.071596,0.023209,0.053533,0.092211,0.062573,0.02634,0.050762,0.072755,0.066089,0.052984,0.067947,0.052155,0.039382,1,0.11881,0.086261,0.067118,0.28914,1,1,1,1,1,0,1,1,1,1
0.13,0.38,0.2,1.54,3,1,0.01,0.38,0.54,0,1,0.37997,0.3535,0.37796,0.33038,0.34373,0.32267,0.32869,0.3339,0.32199,0.36494,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
0.13,0.38,0.2,1.54,3,1,0.01,0.38,0.54,0,2,0.37288,0.36177,0.38876,0.33689,0.3471,0.32704,0.33977,0.36307,0.33422,0.36961,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
0.13,0.38,0.2,1.54,3,1,0.01,0.38,0.54,0,3,0.36919,0.35423,0.37769,0.33422,0.34445,0.32505,0.33345,0.35959,0.32427,0.36519,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
0.13,0.38,0.2,1.54,3,1,0.01,0.38,0.54,0,4,0.37997,0.35106,0.37807,0.33038,0.34387,0.32267,0.3279,0.33675,0.32192,0.36494,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
